"cty","Name","Household_Income_rP_gP_p25"
"cty20189","Stevens County, KS",41314
"cty08095","Phillips County, CO",41292
"cty38035","Grand Forks County, ND",41291
"cty20095","Kingman County, KS",41285
"cty48413","Schleicher County, TX",41284
"cty49005","Cache County, UT",41279
"cty39137","Putnam County, OH",41279
"cty46027","Clay County, SD",41253
"cty49015","Emery County, UT",41206
"cty39075","Holmes County, OH",41197
"cty27027","Clay County, MN",41172
"cty29041","Chariton County, MO",41172
"cty18007","Benton County, IN",41124
"cty19085","Harrison County, IA",41122
"cty48433","Stonewall County, TX",41120
"cty19137","Montgomery County, IA",41113
"cty27163","Washington County, MN",41103
"cty55089","Ozaukee County, WI",41097
"cty08039","Elbert County, CO",41075
"cty16063","Lincoln County, ID",41075
"cty40149","Washita County, OK",41058
"cty32027","Pershing County, NV",41055
"cty20049","Elk County, KS",41035
"cty08027","Custer County, CO",41025
"cty49049","Utah County, UT",41021
"cty17133","Monroe County, IL",40994
"cty46019","Butte County, SD",40963
"cty48435","Sutton County, TX",40871
"cty55095","Polk County, WI",40870
"cty46095","Mellette County, SD",40868
"cty30001","Beaverhead County, MT",40859
"cty26083","Keweenaw County, MI",40843
"cty49041","Sevier County, UT",40835
"cty27025","Chisago County, MN",40790
"cty46005","Beadle County, SD",40787
"cty48175","Goliad County, TX",40776
"cty56041","Uinta County, WY",40772
"cty08051","Gunnison County, CO",40767
"cty31031","Cherry County, NE",40748
"cty19185","Wayne County, IA",40740
"cty42063","Indiana County, PA",40738
"cty31067","Gage County, NE",40674
"cty30059","Meagher County, MT",40674
"cty19051","Davis County, IA",40669
"cty56037","Sweetwater County, WY",40666
"cty08067","La Plata County, CO",40638
"cty27047","Freeborn County, MN",40638
"cty29103","Knox County, MO",40633
"cty20149","Pottawatomie County, KS",40629
"cty48135","Ector County, TX",40622
"cty48211","Hemphill County, TX",40579
"cty26063","Huron County, MI",40563
"cty17189","Washington County, IL",40524
"cty29205","Shelby County, MO",40516
"cty19195","Worth County, IA",40511
"cty48195","Hansford County, TX",40505
"cty19049","Dallas County, IA",40497
"cty19021","Buena Vista County, IA",40471
"cty19135","Monroe County, IA",40463
"cty46071","Jackson County, SD",40453
"cty19197","Wright County, IA",40431
"cty17043","DuPage County, IL",40397
"cty20027","Clay County, KS",40391
"cty27005","Becker County, MN",40385
"cty34023","Middlesex County, NJ",40363
"cty19015","Boone County, IA",40350
"cty55017","Chippewa County, WI",40333
"cty30027","Fergus County, MT",40326
"cty55061","Kewaunee County, WI",40320
"cty20047","Edwards County, KS",40279
"cty53023","Garfield County, WA",40234
"cty48149","Fayette County, TX",40233
"cty31025","Cass County, NE",40228
"cty08035","Douglas County, CO",40213
"cty48011","Armstrong County, TX",40210
"cty54073","Pleasants County, WV",40208
"cty48329","Midland County, TX",40190
"cty48337","Montague County, TX",40181
"cty42031","Clarion County, PA",40180
"cty31053","Dodge County, NE",40130
"cty16035","Clearwater County, ID",40116
"cty48043","Brewster County, TX",40110
"cty48023","Baylor County, TX",40097
"cty20127","Morris County, KS",40093
"cty56045","Weston County, WY",40091
"cty36085","Richmond County, NY",40087
"cty55141","Wood County, WI",40034
"cty22023","Cameron Parish, LA",40024
"cty36041","Hamilton County, NY",40007
"cty31037","Colfax County, NE",39996
"cty46047","Fall River County, SD",39982
"cty20085","Jackson County, KS",39950
"cty53075","Whitman County, WA",39939
"cty31119","Madison County, NE",39936
"cty25017","Middlesex County, MA",39935
"cty27037","Dakota County, MN",39934
"cty30081","Ravalli County, MT",39922
"cty08033","Dolores County, CO",39915
"cty27109","Olmsted County, MN",39901
"cty55131","Washington County, WI",39901
"cty49009","Daggett County, UT",39889
"cty20109","Logan County, KS",39886
"cty48009","Archer County, TX",39877
"cty26141","Presque Isle County, MI",39854
"cty56025","Natrona County, WY",39826
"cty38071","Ramsey County, ND",39825
"cty20053","Ellsworth County, KS",39822
"cty16021","Boundary County, ID",39821
"cty41063","Wallowa County, OR",39791
"cty49023","Juab County, UT",39779
"cty06041","Marin County, CA",39776
"cty40009","Beckham County, OK",39771
"cty24031","Montgomery County, MD",39764
"cty16057","Latah County, ID",39736
"cty17027","Clinton County, IL",39735
"cty20113","McPherson County, KS",39732
"cty27087","Mahnomen County, MN",39717
"cty55073","Marathon County, WI",39705
"cty27061","Itasca County, MN",39703
"cty55097","Portage County, WI",39696
"cty55125","Vilas County, WI",39691
"cty49011","Davis County, UT",39690
"cty49039","Sanpete County, UT",39679
"cty19125","Marion County, IA",39629
"cty20143","Ottawa County, KS",39615
"cty20105","Lincoln County, KS",39592
"cty56013","Fremont County, WY",39587
"cty20073","Greenwood County, KS",39565
"cty17131","Mercer County, IL",39559
"cty19181","Warren County, IA",39557
"cty19103","Johnson County, IA",39533
"cty19145","Page County, IA",39533
"cty48105","Crockett County, TX",39512
"cty55005","Barron County, WI",39507
"cty42127","Wayne County, PA",39439
"cty55103","Richland County, WI",39430
"cty48505","Zapata County, TX",39429
"cty27147","Steele County, MN",39428
"cty42119","Union County, PA",39397
"cty27131","Rice County, MN",39388
"cty06081","San Mateo County, CA",39386
"cty56001","Albany County, WY",39379
"cty49003","Box Elder County, UT",39366
"cty19183","Washington County, IA",39366
"cty19079","Hamilton County, IA",39354
"cty42059","Greene County, PA",39352
"cty36081","Queens County, NY",39344
"cty27065","Kanabec County, MN",39334
"cty06085","Santa Clara County, CA",39313
"cty48131","Duval County, TX",39311
"cty54013","Calhoun County, WV",39293
"cty20115","Marion County, KS",39291
"cty55045","Green County, WI",39286
"cty55107","Rusk County, WI",39268
"cty17149","Pike County, IL",39256
"cty31001","Adams County, NE",39253
"cty17041","Douglas County, IL",39221
"cty48403","Sabine County, TX",39214
"cty08014","Broomfield County, CO",39207
"cty27059","Isanti County, MN",39192
"cty55033","Dunn County, WI",39191
"cty17139","Moultrie County, IL",39176
"cty30031","Gallatin County, MT",39171
"cty16043","Fremont County, ID",39126
"cty21201","Robertson County, KY",39123
"cty18073","Jasper County, IN",39120
"cty08111","San Juan County, CO",39115
"cty48259","Kendall County, TX",39112
"cty17015","Carroll County, IL",39112
"cty42117","Tioga County, PA",39100
"cty21091","Hancock County, KY",39091
"cty19175","Union County, IA",39082
"cty20185","Stafford County, KS",39061
"cty46093","Meade County, SD",39058
"cty19053","Decatur County, IA",39042
"cty19101","Jefferson County, IA",39015
"cty35028","Los Alamos County, NM",39002
"cty17185","Wabash County, IL",38992
"cty48297","Live Oak County, TX",38988
"cty55123","Vernon County, WI",38985
"cty20067","Grant County, KS",38983
"cty08075","Logan County, CO",38976
"cty55135","Waupaca County, WI",38951
"cty42131","Wyoming County, PA",38937
"cty55133","Waukesha County, WI",38934
"cty49025","Kane County, UT",38911
"cty36049","Lewis County, NY",38893
"cty49037","San Juan County, UT",38885
"cty20013","Brown County, KS",38850
"cty20033","Comanche County, KS",38848
"cty29111","Lewis County, MO",38847
"cty16059","Lemhi County, ID",38845
"cty51157","Rappahannock County, VA",38840
"cty34037","Sussex County, NJ",38805
"cty20101","Lane County, KS",38803
"cty27141","Sherburne County, MN",38789
"cty29197","Schuyler County, MO",38777
"cty17071","Henderson County, IL",38771
"cty30105","Valley County, MT",38771
"cty31111","Lincoln County, NE",38750
"cty17023","Clark County, IL",38736
"cty48237","Jack County, TX",38732
"cty41023","Grant County, OR",38720
"cty17065","Hamilton County, IL",38719
"cty08053","Hinsdale County, CO",38699
"cty08029","Delta County, CO",38688
"cty55071","Manitowoc County, WI",38686
"cty51027","Buchanan County, VA",38660
"cty48109","Culberson County, TX",38641
"cty06017","El Dorado County, CA",38632
"cty48207","Haskell County, TX",38628
"cty42091","Montgomery County, PA",38624
"cty48289","Leon County, TX",38610
"cty48335","Mitchell County, TX",38601
"cty19033","Cerro Gordo County, IA",38593
"cty40055","Greer County, OK",38578
"cty26109","Menominee County, MI",38553
"cty19087","Henry County, IA",38551
"cty40153","Woodward County, OK",38538
"cty49053","Washington County, UT",38531
"cty48359","Oldham County, TX",38525
"cty48233","Hutchinson County, TX",38513
"cty55087","Outagamie County, WI",38512
"cty39121","Noble County, OH",38507
"cty30067","Park County, MT",38504
"cty29005","Atchison County, MO",38493
"cty06005","Amador County, CA",38491
"cty20091","Johnson County, KS",38491
"cty48497","Wise County, TX",38490
"cty29063","DeKalb County, MO",38486
"cty42017","Bucks County, PA",38483
"cty40039","Custer County, OK",38437
"cty55023","Crawford County, WI",38429
"cty39111","Monroe County, OH",38410
"cty29045","Clark County, MO",38391
"cty17047","Edwards County, IL",38387
"cty08045","Garfield County, CO",38385
"cty19071","Fremont County, IA",38367
"cty27115","Pine County, MN",38357
"cty17193","White County, IL",38345
"cty20151","Pratt County, KS",38341
"cty30037","Golden Valley County, MT",38330
"cty19133","Monona County, IA",38290
"cty27057","Hubbard County, MN",38274
"cty26061","Houghton County, MI",38266
"cty20087","Jefferson County, KS",38264
"cty20041","Dickinson County, KS",38258
"cty08015","Chaffee County, CO",38247
"cty35015","Eddy County, NM",38243
"cty27165","Watonwan County, MN",38233
"cty26053","Gogebic County, MI",38222
"cty42005","Armstrong County, PA",38209
"cty17053","Ford County, IL",38203
"cty55055","Jefferson County, WI",38200
"cty16011","Bingham County, ID",38190
"cty17049","Effingham County, IL",38185
"cty36087","Rockland County, NY",38177
"cty49019","Grand County, UT",38119
"cty20009","Barton County, KS",38118
"cty51017","Bath County, VA",38111
"cty42125","Washington County, PA",38111
"cty48503","Young County, TX",38108
"cty35025","Lea County, NM",38107
"cty48171","Gillespie County, TX",38098
"cty44001","Bristol County, RI",38080
"cty27099","Mower County, MN",38075
"cty42067","Juniata County, PA",38044
"cty08093","Park County, CO",38033
"cty20159","Rice County, KS",38019
"cty42103","Pike County, PA",38012
"cty42105","Potter County, PA",37985
"cty36121","Wyoming County, NY",37979
"cty36103","Suffolk County, NY",37974
"cty42019","Butler County, PA",37974
"cty48133","Eastland County, TX",37958
