"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0500000US34007","Camden County, New Jersey","0.4765","0.0183"
"0500000US34009","Cape May County, New Jersey","0.4618","0.0203"
"0500000US34011","Cumberland County, New Jersey","0.5088","0.0790"
"0500000US34013","Essex County, New Jersey","0.5443","0.0116"
"0500000US34015","Gloucester County, New Jersey","0.4223","0.0148"
"0500000US34017","Hudson County, New Jersey","0.4952","0.0122"
"0500000US34019","Hunterdon County, New Jersey","0.4494","0.0246"
"0500000US34021","Mercer County, New Jersey","0.5052","0.0203"
"0500000US34023","Middlesex County, New Jersey","0.4306","0.0102"
"0500000US34025","Monmouth County, New Jersey","0.4856","0.0142"
"0500000US34027","Morris County, New Jersey","0.4562","0.0127"
"0500000US34029","Ocean County, New Jersey","0.4336","0.0143"
"0500000US34031","Passaic County, New Jersey","0.4538","0.0130"
"0500000US34033","Salem County, New Jersey","0.4578","0.0309"
"0500000US34035","Somerset County, New Jersey","0.4485","0.0135"
"0500000US34037","Sussex County, New Jersey","0.4043","0.0202"
"0500000US34039","Union County, New Jersey","0.4881","0.0120"
"0500000US34041","Warren County, New Jersey","0.4161","0.0229"
"0500000US35001","Bernalillo County, New Mexico","0.4839","0.0149"
"0500000US35005","Chaves County, New Mexico","0.4678","0.0280"
"0500000US35013","Doña Ana County, New Mexico","0.4741","0.0292"
"0500000US35025","Lea County, New Mexico","0.4563","0.0466"
"0500000US35031","McKinley County, New Mexico","0.4670","0.0305"
"0500000US35035","Otero County, New Mexico","0.4431","0.0420"
"0500000US35043","Sandoval County, New Mexico","0.4076","0.0214"
"0500000US35045","San Juan County, New Mexico","0.4686","0.0354"
"0500000US35049","Santa Fe County, New Mexico","0.4907","0.0210"
"0500000US35061","Valencia County, New Mexico","0.4449","0.0361"
"0500000US36001","Albany County, New York","0.4493","0.0184"
"0500000US36005","Bronx County, New York","0.5116","0.0096"
"0500000US36007","Broome County, New York","0.4626","0.0210"
"0500000US36009","Cattaraugus County, New York","0.4448","0.0300"
"0500000US36011","Cayuga County, New York","0.4489","0.0305"
